route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_group
01S,SYNCHRO,1S,LA MOTTE DE GAULLE > LOUIS ARMAND,3,FBBC43,000000,urbain
01,SYNCHRO,1,LA MOTTE DE GAULLE > CEVENNES,3,FBBC43,000000,urbain
02,SYNCHRO,2,LANDIERS NORD > ST JEOIRE FRASSES,3,5BC5F2,000000,urbain
3S,SYNCHRO,3S,ST JEOIRE FRASSES  > COLLEGE JEAN MERMOZ,3,ABD084,000000,urbain
03,SYNCHRO,3,ST BALDOPH CENTRE / FRASSES > GALION,3,ABD084,000000,urbain
04,SYNCHRO,4,COLLEGE GEORGE SAND > CHAMPET,3,D898C3,000000,urbain
05,SYNCHRO,5,GARE DUCS > ST BALDOPH CENTRE,3,BF8959,000000,urbain
10,SYNCHRO,10,SONNAZ > PR SONNAZ,3,88A7D8,000000,urbain
11,SYNCHRO,11,PRAGONDRAN > COLLEGE DE MAISTRE,3,BF96BA,000000,urbain
12,SYNCHRO,12,LES DESERTS / THOIRY >  PR LA TROUSSE,3,91D3E8,000000,urbain
13,SYNCHRO,13,LA GUILLERE > COLLEGE JEAN MERMOZ,3,8B7DB9,000000,urbain
14,SYNCHRO,14,LA THUILE > COLLEGE JEAN MERMOZ,3,F18D7D,000000,urbain
15,SYNCHRO,15,HAUT DES LAMETTES > MONGE,3,C2D20B,000000,urbain
16,SYNCHRO,16,LE PONT > COLLEGE HENRY BORDEAUX,3,7FC6A9,000000,urbain
17,SYNCHRO,17,MONZIN > COLLEGE HENRY BORDEAUX,3,D2BC5E,000000,urbain
18,SYNCHRO,18,VILLARD MARIN > FORGERIE,3,737FBC,000000,urbain
19,SYNCHRO,19,MONTAGNOLE > LE BOCAGE,3,C56565,000000,urbain
20,SYNCHRO,20,LES MONTS  > GARE DUCS,3,91C020,000000,urbain
30S,SYNCHRO,30S,ECOLE CHEF-LIEU/COLLEGE DES BAUGES > CHAMBERY GARE ROUTIERE / LYCEE DU GRANIER,3,00908E,000000,urbain
30,SYNCHRO,30,ECOLE CHEF-LIEU > CHAMBERY GARE ROUTIERE,3,00908E,000000,urbain
40,SYNCHRO,40,CHAMBERY GARE ROUTIERE > LA FECLAZ,3,53BAA9,000000,urbain
41,SYNCHRO,41,CHAMBERY GARE ROUTIERE > MARGERIAZ,3,53BAA9,000000,urbain
A,SYNCHRO,A,PLAGE / TECHNOLAC > UNIVERSITE DE JACOB,3,E51E22,FFFFFF,urbain
B,SYNCHRO,B,PR SONNAZ > ROC NOIR,3,005EAA,FFFFFF,urbain
C,SYNCHRO,C,CHALLES CENTRE > DE GAULLE,3,008D3F,FFFFFF,urbain
D,SYNCHRO,D,CHAMOUX > PLAINE DES SPORTS,3,FFDD00,000000,urbain
E,SYNCHRO,E,CEVENNES > SALINS,3,4A4AC5,FFFFFF,urbain
