stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:13BCA,,13ème BCA,45.56334600,5.98171480,,,1,,0,
1:CHYPR,,A. Chypre,45.55370670,5.91430850,,,1,,0,
1:ADOMA,,Adoma,45.58970170,5.90469570,,,1,,0,
1:ALJCF,,Aillon-le-J C-Lieu,45.61953820,6.08008420,,,1,,0,
1:AIMG1,,Aillons 1000,45.60880400,6.10165440,,,1,,0,
1:ALBANE,,Albanne,45.56232810,5.94221990,,,1,,0,
1:ALLIU,,Alliu,45.64926250,5.90909950,,,1,,0,
1:ANCOL,,Ancolies,45.55119750,5.91828720,,,1,,0,
1:ANTIO,,Antions,45.62538770,5.90946350,,,1,,0,
1:AOSTE,,Aoste,45.59582000,5.91583690,,,1,,0,
1:APEI,,APEI,45.55583270,5.98503050,,,1,,0,
1:APRMT,,Apremont,45.56151220,5.94653170,,,1,,0,
1:ARCHI,,Archimède,45.54167170,5.96085920,,,1,,0,
1:ARVEY,,Arvey,45.56215860,6.04021700,,,1,,0,
1:AUTRA,,Autrain,45.54980980,5.88427310,,,1,,0,
1:BLMON,,Balcon des Monts,45.58100170,5.93021210,,,1,,0,
1:BALME,,Balme,45.58666050,5.90730840,,,1,,0,
1:BARAQ,,Baraques,45.54415950,5.97906100,,,1,,0,
1:CBARZ,,Barberaz Centre,45.56463820,5.94312510,,,1,,0,
1:CBARY,,Barby Centre,45.57009080,5.97729840,,,1,,0,
1:BARIL,,Barillettes,45.57476770,5.96416680,,,1,,0,
1:BASSA,,Bassa,45.74932890,5.99175120,,,1,,0,
1:CBASS,,Bassens Centre,45.58068650,5.94245030,,,1,,0,
1:BAUDE,,Baudelaire,45.55998850,5.91929510,,,1,,0,
1:BOMON,,Beaumont,45.62526100,5.91644310,,,1,,0,
1:BELR,,Bel Air,45.65063550,5.85957140,,,1,,0,
1:BELLO,,Belle Eau,45.61047750,5.88978150,,,1,,0,
1:BELLC,,Bellecombette,45.54957990,5.92141470,,,1,,0,
1:BELDO,,Belledonnes,45.55852780,5.95705820,,,1,,0,
1:BELVE,,Belvédère,45.61327570,5.94603040,,,1,,0,
1:BERGE,,Berges,45.56011150,5.90097770,,,1,,0,
1:BERTI,,Bertillet,45.59314490,5.91805130,,,1,,0,
1:BICHE,,Biche,45.55360900,5.96743510,,,1,,0,
1:BIOLL,,Biollay,45.56023380,5.90583280,,,1,,0,
